Team,Year,Season,Sport,Event,Medal
Soviet Union,1980,Summer,Water Polo,Water Polo Men's Water Polo,Gold
United States,2016,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
United States,2012,Summer,Volleyball,Volleyball Women's Volleyball,Silver
United States,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Russia,2004,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Russia,2008,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Russia,2000,Summer,Water Polo,Water Polo Women's Water Polo,Bronze
Unified Team,1992,Summer,Weightlifting,Weightlifting Men's Heavyweight II,Silver
Nigeria,2016,Summer,Football,Football Men's Football,Bronze
United States,2016,Summer,Fencing,"Fencing Women's Sabre, Team",Bronze
Soviet Union,1976,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Soviet Union,1976,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Soviet Union,1980,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Russia,1996,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Soviet Union,1980,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Soviet Union,1976,Summer,Sailing,Sailing Mixed Two Person Keelboat,Silver
Syria,2004,Summer,Boxing,Boxing Men's Heavyweight,Bronze
Qatar,2012,Summer,Shooting,Shooting Men's Skeet,Bronze
Kuwait,2000,Summer,Shooting,Shooting Men's Double Trap,Bronze
Kuwait,2012,Summer,Shooting,Shooting Men's Trap,Bronze
Individual Olympic Athletes,2016,Summer,Shooting,Shooting Men's Double Trap,Gold
Saudi Arabia,2012,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Saudi Arabia,2000,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Pakistan,1984,Summer,Hockey,Hockey Men's Hockey,Gold
United Arab Emirates,2004,Summer,Shooting,Shooting Men's Double Trap,Gold
Individual Olympic Athletes,2016,Summer,Shooting,Shooting Men's Skeet,Bronze
Saudi Arabia,2012,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Saudi Arabia,2000,Summer,Athletics,Athletics Men's 400 metres Hurdles,Silver
Spain,2012,Summer,Sailing,Sailing Women's Windsurfer,Gold
Soviet Union,1964,Summer,Basketball,Basketball Men's Basketball,Silver
Soviet Union,1972,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Pakistan,1956,Summer,Hockey,Hockey Men's Hockey,Silver
Pakistan,1960,Summer,Hockey,Hockey Men's Hockey,Gold
Croatia,1992,Summer,Basketball,Basketball Men's Basketball,Silver
Finland,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1960,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Italy,1968,Summer,Sailing,Sailing Mixed One Person Dinghy,Bronze
Italy,1992,Winter,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Silver
Italy,1992,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Italy,1994,Winter,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Bronze
Italy,1994,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Italy,1998,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
France-3,1920,Summer,Tennis,Tennis Men's Doubles,Bronze
Russia,2012,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Spain,2000,Summer,Football,Football Men's Football,Silver
West Germany,1984,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Italy,1976,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Union des Socits Franais de Sports Athletiques,1900,Summer,Rugby,Rugby Men's Rugby,Gold
Martha-1,1900,Summer,Sailing,Sailing Mixed 1-2 Ton,Silver
Martha-1,1900,Summer,Sailing,Sailing Mixed 1-2 Ton,Bronze
Hungary,1960,Summer,Football,Football Men's Football,Bronze
Spain,2012,Summer,Handball,Handball Women's Handball,Bronze
Denmark,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Sweden,1948,Summer,Athletics,"Athletics Men's 10,000 metres",Bronze
Italy,1968,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Russia,2008,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Switzerland,1924,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Switzerland,1924,Summer,Rowing,Rowing Men's Coxed Fours,Gold
East Germany,1980,Winter,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
Switzerland,2002,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
Sweden,1976,Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
United States,1952,Winter,Figure Skating,Figure Skating Women's Singles,Silver
United States,1956,Winter,Figure Skating,Figure Skating Women's Singles,Gold
United States,1936,Summer,Athletics,Athletics Men's High Jump,Silver
Soviet Union,1960,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Brazil,1996,Summer,Football,Football Men's Football,Bronze
Cuba,1976,Summer,Boxing,Boxing Men's Light-Welterweight,Silver
Cuba,1980,Summer,Boxing,Boxing Men's Welterweight,Gold
Great Britain,1920,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Great Britain,1920,Summer,Cycling,Cycling Men's 50 kilometres,Silver
Great Britain,1924,Summer,Cycling,Cycling Men's 50 kilometres,Silver
United States,1928,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
United States,1952,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Spain,2008,Summer,Hockey,Hockey Men's Hockey,Silver
Spain,2008,Summer,Hockey,Hockey Men's Hockey,Silver
New Zealand,2012,Summer,Sailing,Sailing Women's Two Person Dinghy,Gold
New Zealand,2016,Summer,Sailing,Sailing Women's Two Person Dinghy,Silver
Lithuania,2000,Summer,Athletics,Athletics Men's Discus Throw,Gold
Lithuania,2004,Summer,Athletics,Athletics Men's Discus Throw,Gold
Lithuania,2008,Summer,Athletics,Athletics Men's Discus Throw,Bronze
Soviet Union,1976,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Bulgaria,1980,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Soviet Union,1960,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Soviet Union,1964,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Soviet Union,1968,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Soviet Union-2,1984,Winter,Bobsleigh,Bobsleigh Men's Two,Bronze
Soviet Union,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
Soviet Union,1980,Summer,Rowing,Rowing Women's Double Sculls,Gold
Armenia,2012,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Armenia,2016,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Soviet Union,1972,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Soviet Union,1976,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Soviet Union,1964,Summer,Diving,Diving Women's Platform,Bronze
Serbia,2012,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2016,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Brazil,1996,Summer,Basketball,Basketball Women's Basketball,Silver
Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
United States,1932,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Germany,1932,Summer,Rowing,Rowing Men's Coxless Fours,Silver
Brazil,2012,Summer,Football,Football Men's Football,Silver
Great Britain,1908,Summer,Lacrosse,Lacrosse Men's Lacrosse,Silver
Canada,1996,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Great Britain,1960,Summer,Fencing,"Fencing Men's epee, Team",Silver
Canada,2000,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
France,1984,Summer,Judo,Judo Men's Half-Lightweight,Bronze
France,1988,Summer,Judo,Judo Men's Lightweight,Gold
Brazil,2008,Summer,Football,Football Men's Football,Bronze
Brazil,2012,Summer,Football,Football Men's Football,Silver
Romania,1980,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
Romania,1972,Summer,Boxing,Boxing Men's Heavyweight,Silver
Soviet Union,1976,Summer,Diving,Diving Men's Platform,Bronze
Soviet Union,1980,Summer,Diving,Diving Men's Platform,Silver
Russia,2000,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
Niger,2016,Summer,Taekwondo,Taekwondo Men's Heavyweight,Silver
Soviet Union,1976,Summer,Athletics,Athletics Women's Long Jump,Bronze
Spain,1992,Summer,Football,Football Men's Football,Gold
United States,1984,Summer,Basketball,Basketball Men's Basketball,Gold
Sweden,1924,Summer,Football,Football Men's Football,Bronze
Sweden,2006,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Sweden,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Heatherbell,1912,Summer,Sailing,Sailing Mixed 12 metres,Bronze
Brazil,1948,Summer,Basketball,Basketball Men's Basketball,Bronze
Brazil,1960,Summer,Basketball,Basketball Men's Basketball,Bronze
Sweden,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Sweden,2012,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Pakistan,1984,Summer,Hockey,Hockey Men's Hockey,Gold
United States,2016,Summer,Athletics,Athletics Women's 100 metres Hurdles,Silver
India,1928,Summer,Hockey,Hockey Men's Hockey,Gold
India,1964,Summer,Hockey,Hockey Men's Hockey,Gold
France,1920,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Iran,1972,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
France,1908,Summer,Fencing,"Fencing Men's epee, Individual",Gold
France,1908,Summer,Fencing,"Fencing Men's epee, Team",Gold
Russia,2000,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Russia,2004,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Soviet Union,1980,Winter,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
Soviet Union,1980,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
Croatia,2012,Summer,Handball,Handball Men's Handball,Bronze
Brazil,2004,Summer,Football,Football Women's Football,Silver
Russia,2004,Summer,Shooting,Shooting Men's Trap,Gold
Russia,2008,Summer,Shooting,Shooting Men's Trap,Bronze
Greece,1906,Summer,Gymnastics,Gymnastics Men's Rope Climbing,Gold
Brazil-1,2012,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
Brazil-1,2016,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
Nigeria,2004,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Russia,2008,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Iran,2016,Summer,Taekwondo,Taekwondo Women's Featherweight,Bronze
Belgium,1920,Summer,Archery,"Archery Men's Target Archery, 28 metres, Team",Silver
Belgium,1920,Summer,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Belgium,1920,Summer,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Unified Team,1992,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
France,1936,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
Algeria,2000,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
Great Britain,1984,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
France,1992,Winter,Freestyle Skiing,Freestyle Skiing Men's Moguls,Silver
Great Britain,1984,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Great Britain,1988,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
USFSA,1900,Summer,Football,Football Men's Football,Silver
United States,1972,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
United States,1996,Summer,Baseball,Baseball Men's Baseball,Bronze
Austria,2004,Summer,Triathlon,Triathlon Women's Olympic Distance,Gold
Australia,2000,Summer,Hockey,Hockey Women's Hockey,Gold
Jamaica,2016,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
United States,2000,Summer,Basketball,Basketball Men's Basketball,Gold
India,1928,Summer,Hockey,Hockey Men's Hockey,Gold
India,1932,Summer,Hockey,Hockey Men's Hockey,Gold
India,1936,Summer,Hockey,Hockey Men's Hockey,Gold
United States,1964,Winter,Figure Skating,Figure Skating Men's Singles,Bronze
United States,1920,Summer,Polo,Polo Men's Polo,Bronze
United States,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold
United States,2008,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Australia,2000,Summer,Softball,Softball Women's Softball,Bronze
Australia,2004,Summer,Softball,Softball Women's Softball,Silver
Australia,2008,Summer,Softball,Softball Women's Softball,Bronze
Great Britain,2000,Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
Heira II,1920,Summer,Sailing,Sailing Mixed 12 metres,Gold
Nykjbings paa Falster,1912,Summer,Rowing,"Rowing Men's Coxed Fours, Inriggers",Gold
Trinidad and Tobago,2012,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Great Britain,1968,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Great Britain,1968,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Canada,1936,Summer,Basketball,Basketball Men's Basketball,Silver
Ireland-2,1908,Summer,Hockey,Hockey Men's Hockey,Silver
Italy,1920,Summer,Fencing,"Fencing Men's epee, Team",Gold
United States,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Italy,2004,Summer,Water Polo,Water Polo Women's Water Polo,Gold
Sweden,1920,Summer,Athletics,"Athletics Men's Cross-Country, Team",Bronze
Sweden,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Soviet Union,1960,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Soviet Union,1964,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Argentina,1996,Summer,Football,Football Men's Football,Silver
Sweden,1936,Summer,Fencing,"Fencing Men's epee, Team",Silver
Mohawk Indians-2,1904,Summer,Lacrosse,Lacrosse Men's Lacrosse,Bronze
Tornado,1952,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
Sweden,1912,Summer,Athletics,Athletics Men's Triple Jump,Bronze
Sweden,1920,Summer,Athletics,Athletics Men's Triple Jump,Bronze
Sweden,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Elsie,1920,Summer,Sailing,Sailing Mixed 40 metres,Silver
Sweden,1948,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Cameroon,2000,Summer,Football,Football Men's Football,Gold
Brazil,1988,Summer,Football,Football Men's Football,Silver
Spain,2012,Summer,Handball,Handball Women's Handball,Bronze
Russia,2012,Summer,Boxing,Boxing Men's Flyweight,Bronze
Nigeria,2000,Summer,Athletics,Athletics Women's 100 metres Hurdles,Silver
Norway,1994,Winter,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
Norway,1994,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Norway,1998,Winter,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Gold
Norway,1998,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Norway,2002,Winter,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
Norway,2002,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Sweden,2000,Summer,Swimming,Swimming Women's 50 metres Freestyle,Silver
Sweden,2000,Summer,Swimming,Swimming Women's 100 metres Freestyle,Silver
Sweden,2000,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Soviet Union,1988,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Norway,2012,Summer,Handball,Handball Women's Handball,Gold
Norway,2016,Summer,Handball,Handball Women's Handball,Bronze
Switzerland-1,1956,Winter,Bobsleigh,Bobsleigh Men's Four,Gold
Germany,2008,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,1992,Summer,Rowing,Rowing Women's Coxless Pairs,Silver
Italy,1912,Summer,Athletics,Athletics Men's 10 kilometres Walk,Bronze
Switzerland,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Great Britain,1948,Winter,Figure Skating,Figure Skating Women's Singles,Bronze
Great Britain,1952,Winter,Figure Skating,Figure Skating Women's Singles,Gold
Chile,2000,Summer,Football,Football Men's Football,Bronze
United States,2014,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
Spain,1928,Summer,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Cuba,1972,Summer,Basketball,Basketball Men's Basketball,Bronze
Cuba,2012,Summer,Boxing,Boxing Men's Bantamweight,Bronze
Cuba,2016,Summer,Boxing,Boxing Men's Lightweight,Bronze
Colombia,2012,Summer,Judo,Judo Women's Middleweight,Bronze
Colombia,2016,Summer,Judo,Judo Women's Middleweight,Silver
Italy-2,1956,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Italy-2,1956,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Brazil,2012,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Italy,1920,Summer,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
Italy,1924,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
Egypt,2004,Summer,Boxing,Boxing Men's Super-Heavyweight,Silver
Soviet Union,1980,Winter,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
Soviet Union,1980,Winter,Biathlon,Biathlon Men's 20 kilometres,Gold
Soviet Union,1980,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
Soviet Union,1980,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
Russia,2000,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Russia,2006,Winter,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Bronze
Luxembourg,1920,Summer,Weightlifting,Weightlifting Men's Heavyweight,Silver
Ghana,1992,Summer,Football,Football Men's Football,Bronze
Mound City Rowing Club-2,1904,Summer,Rowing,Rowing Men's Coxless Fours,Silver
Romania,1996,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Romania,1996,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Romania,1996,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Silver
Romania,1996,Summer,Gymnastics,Gymnastics Women's Horse Vault,Gold
Romania,2000,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Romania,2000,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Romania,2000,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Ghana,1992,Summer,Football,Football Men's Football,Bronze
Germany,1928,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Soviet Union,1980,Winter,Luge,Luge Women's Singles,Bronze
Brazil,1996,Summer,Football,Football Men's Football,Bronze
Italy,2004,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Ghana,1972,Summer,Boxing,Boxing Men's Middleweight,Bronze
Spain,1996,Summer,Hockey,Hockey Men's Hockey,Silver
France,1996,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
France,1996,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Spain,1980,Summer,Hockey,Hockey Men's Hockey,Silver
Spain,1960,Summer,Hockey,Hockey Men's Hockey,Bronze
Spain,1996,Summer,Hockey,Hockey Men's Hockey,Silver
Spain,2008,Summer,Hockey,Hockey Men's Hockey,Silver
Spain,1932,Summer,Sailing,Sailing Mixed One Person Dinghy,Bronze
Argentina,2000,Summer,Sailing,Sailing Women's One Person Dinghy,Bronze
Brazil,1984,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Brazil,1992,Summer,Volleyball,Volleyball Men's Volleyball,Gold
Brazil,1960,Summer,Basketball,Basketball Men's Basketball,Bronze
Brazil,1964,Summer,Basketball,Basketball Men's Basketball,Bronze
Spain,1992,Summer,Football,Football Men's Football,Gold
Spain,2000,Summer,Football,Football Men's Football,Silver
Italy,1960,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Nigeria,2008,Summer,Football,Football Men's Football,Silver
Italy,1928,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
United States,2000,Summer,Softball,Softball Women's Softball,Gold
Italy,1920,Summer,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Hungary,1964,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Ali-Baba II,1948,Summer,Sailing,Sailing Mixed 6 metres,Bronze
East Germany-1,1972,Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
France,2002,Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
